feature,missing_pct,correlation,p_value,quartile_diff,mean
acc_open_past_24mths,0.037121790520685635,0.09441995466395728,0.0,0.08307370510936209,4.590460538507398
dti,0.00017366424136788122,0.08148253911128896,0.0,0.09077644560867244,17.85161641169438
tot_hi_cred_lim,0.05460893248379046,0.0808330325098706,0.0,0.09017251193350682,160296.04126431805
bc_open_to_buy,0.04783390921384104,0.07910871956907115,0.0,0.08551221941413734,9704.575964868995
avg_cur_bal,0.05462481640830581,0.07758866248944386,0.0,0.08512838345855539,12428.811772317707
tot_cur_bal,0.05460893248379046,0.07416335126992853,0.0,0.07424790117797433,128207.58839245154
mths_since_recent_bc,0.04713183975026235,0.05033547652393296,0.0,0.05910096401781434,23.16878046404356
annual_inc,0.0,0.0474373936841341,0.0,0.08542363305519807,74007.37257613959
income_to_loan_ratio,0.0,0.03461050342938951,3.850458478129984e-248,0.07717337835239485,8.170990839899904
has_collections,0.0,0.019451560414561003,1.0503173583943828e-79,0.000910697091359991,0.01587227630404373
collections_12_mths_ex_med,5.929998485732529e-05,0.01786058985954544,1.7196826656230917e-67,0.000910697091359991,0.017421488408441353
num_tl_30dpd,0.05460893248379046,0.004406325509717314,1.8523601140114235e-05,8.735601507944835e-05,0.003236084887928323
credit_utilization_ratio,0.05460893248379046,0.00026721164084158976,0.7951184503424672,0.006743248280302233,0.7170141260515436
loan_amnt,0.0,0.0,1.0,0.0,N/A
pub_rec,0.0,0.0,1.0,0.0,N/A
delinq_2yrs,0.0,0.0,1.0,0.0,N/A
has_delinq_history,0.0,,,0.0,1.0
has_public_record,0.0,,,0.0,1.0
